Date,AAPL US EQUITY,BABA US EQUITY,DIS US EQUITY,LULU US EQUITY,PSX US EQUITY,SPGI US EQUITY,LMT US EQUITY,TXN US EQUITY,V US EQUITY,MCD US EQUITY,SPX INDEX
11/21/2016,27.933,93.41,97.63,55.8,84.86,121.73,263.42,73.68,81.69,119.5,2198.18
11/22/2016,27.95,93.21,97.71,58.24,84.88,120.81,264.66,74.4,79.93,119.69,2202.94
11/23/2016,27.808,93.03,98.26,57.91,85.06,120.21,264.4,74.06,79.57,120.14,2204.72
11/25/2016,27.948,93.01,98.82,57.99,84.89,119.92,265.92,74.43,80.13,120.66,2213.35
11/28/2016,27.893,93.76,98.97,57.21,84.09,118.4,265.93,74.53,79.08,121.82,2201.72
11/29/2016,27.865,94.99,99.67,58.32,82.39,119.61,266.58,74.4,79.15,120.68,2204.66
11/30/2016,27.63,94.02,99.12,56.99,83.08,118.99,265.25,73.93,77.32,119.27,2198.81
12/01/2016,27.373,89.86,98.94,56.53,84.98,116.26,266.4,70.41,75.43,118.47,2191.08
12/02/2016,27.475,90.48,98.5,55.31,84.88,115.69,267.62,70.72,75.72,118.24,2191.95
12/05/2016,27.278,90.99,99.96,57.12,85.44,114.28,266.93,70.51,77.31,119.29,2204.71
12/06/2016,27.488,90.4,100.66,57.24,84.91,113.57,266,71.37,77.11,119.25,2212.23
12/07/2016,27.758,91.07,101.99,59.84,87.01,114.34,266.38,72.2,79.31,119.92,2241.35
12/08/2016,28.03,92.31,103.38,68.84,87.63,114.22,259.25,72.13,79.28,120.45,2246.19
12/09/2016,28.488,93.28,104.86,69.3,87.16,115,259.53,71.99,79.14,121.26,2259.53
12/12/2016,28.325,92.47,104.06,69.71,87.3,113.5,253.11,71.73,78.5,121.74,2256.96
12/13/2016,28.798,92.16,103.85,68.48,88.17,116.69,251.69,73.2,79.2,122.68,2271.72
12/14/2016,28.798,91.19,104.05,68.64,86.42,114.93,252.3,72.5,79.13,122.84,2253.28
12/15/2016,28.955,88.85,104.39,67.31,86.57,114.3,250.65,73.45,79.5,122.36,2262.03
12/16/2016,28.993,88.67,103.91,66.42,87.46,113.1,250.08,72.89,78.35,123.24,2258.07
12/19/2016,29.16,88.93,105.3,66.7,87.17,112.6,252.18,73.57,78.1,122.99,2262.53
12/20/2016,29.238,89.84,105.46,67.59,86.94,112.32,253.73,74.04,78.36,123.33,2270.76
12/21/2016,29.265,89.25,105.56,66.97,86.78,111.7,252.52,74.17,78.14,123.18,2265.18
12/22/2016,29.073,86.8,105.42,64.58,87.56,109.7,252.8,74.2,77.9,123.72,2260.96
12/23/2016,29.13,86.79,105.15,64.41,87.72,109.02,249.59,74.38,78.15,123.14,2263.79
12/27/2016,29.315,87.54,105.17,64.44,87.74,109.43,250.86,74.87,78.35,123.07,2268.88
12/28/2016,29.19,87.37,104.3,64.48,87.12,108.68,249.58,74.05,78.3,122.68,2249.92
12/29/2016,29.183,87.33,104.56,64.39,86.65,108.61,250.59,74.15,78.33,122.79,2249.26
12/30/2016,28.955,87.81,104.22,64.99,86.41,107.54,249.94,72.97,78.02,121.72,2238.83
01/03/2017,29.038,88.6,106.08,66.85,86.79,108.39,253.31,73.58,79.5,119.62,2257.83
01/04/2017,29.005,90.51,107.44,69.41,87.26,111.74,253.99,73.49,80.15,119.48,2270.75
01/05/2017,29.153,94.37,107.38,68.73,86.74,112.59,255.98,72.92,81.09,119.7,2269
01/06/2017,29.478,93.89,108.98,68.27,85.4,114.6,257.85,74.15,82.21,120.76,2276.98
01/09/2017,29.748,94.72,108.36,68.19,84.02,113.28,257.81,74.34,81.75,120.43,2268.9
01/10/2017,29.778,96.75,108.38,69.9,83.76,111.35,256.17,74.6,81.31,120.25,2268.9
01/11/2017,29.938,96.94,109.44,69.4,84.89,111.97,255.13,75.2,81.8,120.88,2275.32
01/12/2017,29.813,95.9,107.53,68.62,84.34,112.59,252.62,74.85,81.37,122.1,2270.44
01/13/2017,29.76,96.27,108.06,67.92,83.29,112.42,254.53,75,81.17,121.5,2274.64
01/17/2017,30,96.12,107.97,68.78,83.56,113.94,254.12,74.49,81.26,122.75,2267.89
01/18/2017,29.998,96,108.16,68.5,84.13,114.4,254.07,74.38,81.59,122.71,2271.89
01/19/2017,29.945,96.17,107.28,66.99,82.99,114.4,257.03,73.88,81.73,122.18,2263.69
01/20/2017,30,96.06,107.66,67.32,83.04,116,257.73,74.75,81.84,122.26,2271.31
